Problem,Agent's Answer,Correct?,Correct Answer
Basic Problem B-01,2,Correct,2
Basic Problem B-02,5,Correct,5
Basic Problem B-03,1,Correct,1
Basic Problem B-04,4,Incorrect,3
Basic Problem B-05,4,Correct,4
Basic Problem B-06,4,Incorrect,5
Basic Problem B-07,4,Incorrect,6
Basic Problem B-08,4,Incorrect,6
Basic Problem B-09,4,Incorrect,5
Basic Problem B-10,4,Incorrect,3
Basic Problem B-11,4,Incorrect,1
Basic Problem B-12,4,Incorrect,1
Basic Problem C-01,4,Incorrect,3
Basic Problem C-02,4,Correct,4
Basic Problem C-03,4,Correct,4
Basic Problem C-04,4,Incorrect,8
Basic Problem C-05,4,Incorrect,3
Basic Problem C-06,4,Incorrect,7
Basic Problem C-07,4,Incorrect,2
Basic Problem C-08,4,Incorrect,5
Basic Problem C-09,4,Incorrect,2
Basic Problem C-10,4,Incorrect,7
Basic Problem C-11,4,Correct,4
Basic Problem C-12,4,Incorrect,8
Basic Problem D-01,4,Incorrect,3
Basic Problem D-02,4,Incorrect,1
Basic Problem D-03,4,Incorrect,3
Basic Problem D-04,4,Incorrect,1
Basic Problem D-05,4,Incorrect,7
Basic Problem D-06,4,Incorrect,1
Basic Problem D-07,4,Incorrect,1
Basic Problem D-08,4,Correct,4
Basic Problem D-09,4,Incorrect,3
Basic Problem D-10,4,Incorrect,1
Basic Problem D-11,4,Incorrect,3
Basic Problem D-12,4,Incorrect,3
Basic Problem E-01,4,Incorrect,1
Basic Problem E-02,4,Incorrect,7
Basic Problem E-03,4,Incorrect,2
Basic Problem E-04,4,Incorrect,8
Basic Problem E-05,4,Incorrect,5
Basic Problem E-06,4,Incorrect,8
Basic Problem E-07,4,Incorrect,3
Basic Problem E-08,4,Incorrect,1
Basic Problem E-09,4,Incorrect,7
Basic Problem E-10,4,Incorrect,8
Basic Problem E-11,4,Incorrect,5
Basic Problem E-12,4,Incorrect,6
Challenge Problem B-01,4,Incorrect,6
Challenge Problem B-02,4,Incorrect,1
Challenge Problem B-03,4,Incorrect,3
Challenge Problem B-04,4,Correct,4
Challenge Problem B-05,4,Incorrect,6
Challenge Problem B-06,4,Incorrect,3
Challenge Problem B-07,4,Incorrect,6
Challenge Problem B-08,4,Correct,4
Challenge Problem B-09,4,Correct,4
Challenge Problem B-10,4,Correct,4
Challenge Problem B-11,4,Incorrect,5
Challenge Problem B-12,4,Incorrect,1
Challenge Problem C-01,4,Incorrect,7
Challenge Problem C-02,4,Incorrect,7
Challenge Problem C-03,4,Incorrect,3
Challenge Problem C-04,4,Incorrect,8
Challenge Problem C-05,4,Correct,4
Challenge Problem C-06,4,Incorrect,7
Challenge Problem C-07,4,Incorrect,3
Challenge Problem C-08,4,Incorrect,1
Challenge Problem C-09,4,Incorrect,7
Challenge Problem C-10,4,Incorrect,3
Challenge Problem C-11,4,Correct,4
Challenge Problem C-12,4,Incorrect,2
Challenge Problem D-01,4,Incorrect,2
Challenge Problem D-02,4,Incorrect,1
Challenge Problem D-03,4,Incorrect,1
Challenge Problem D-04,4,Incorrect,6
Challenge Problem D-05,4,Incorrect,2
Challenge Problem D-06,4,Incorrect,6
Challenge Problem D-07,4,Correct,4
Challenge Problem D-08,4,Incorrect,1
Challenge Problem D-09,4,Incorrect,7
Challenge Problem D-10,4,Incorrect,5
Challenge Problem D-11,4,Incorrect,5
Challenge Problem D-12,4,Incorrect,6
Challenge Problem E-01,4,Incorrect,6
Challenge Problem E-02,4,Incorrect,7
Challenge Problem E-03,4,Incorrect,5
Challenge Problem E-04,4,Incorrect,5
Challenge Problem E-05,4,Incorrect,6
Challenge Problem E-06,4,Incorrect,7
Challenge Problem E-07,4,Incorrect,5
Challenge Problem E-08,4,Incorrect,7
Challenge Problem E-09,4,Incorrect,1
Challenge Problem E-10,4,Incorrect,1
Challenge Problem E-11,4,Incorrect,3
Challenge Problem E-12,4,Incorrect,5
